Model,AP_mean,AP_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,Precision_mean,Precision_std,F1_mean,F1_std
Random forest,0.8819206349206349,0.10250774110595988,0.7727272727272727,0.10640636282472388,0.8466666666666667,0.16599866130651644,0.7516666666666667,0.0791447338038918,0.7894372294372294,0.09966567678018506
Logistic regression,0.8353968253968255,0.14050152224293697,0.7781818181818181,0.11723396117547409,0.82,0.11925695879998881,0.7761904761904762,0.14245976477763422,0.7922299922299922,0.10430001851474832
XGBoost,0.8176349206349206,0.1109935375673207,0.7527272727272727,0.08846720455056628,0.8133333333333335,0.14259499757471625,0.7357142857142857,0.06208764195431096,0.7682983682983682,0.0892137661517783
